ID	Text
1	The course will examine the theoretical and ideological debates related to power, state, civil society, nationalism, democratization, and globalization. Students will also examine social identities like class, race, gender, sexuality, and religion and their intersection with various political institutions.
2	The study of social and cultural change: the causes, pro- cesses, theories, and consequences. The case study approach will be used.
3	A course covering the fundamentals of computer hardware.  Topics include data representation using various number representations, Boolean algebra and logic, digital logic devices, combinational and sequential circuits, logic units and simple processor design including registers, memory, addressing and processing of low-level instructions.
4	This course examines representative novels from Alarcon to Galdos.  Works chosen demonstrate the important literary currents of the past century.
5	This course focuses on Don Quijote and its impact in Early Modern Spain's historical development and literary culture. Excerpts of Renaissance works that were influential to the creation of Don Quijote will also be studied along with transnational adaptations: Spanish and Latin American literary production, films, comics, and other artistic material that will contribute to a deeper understanding of this classical novel and its legacy on the contemporary world. Lectures, readings and class discussions are in Spanish.
6	Collecting accurate and representative air, water, and soil field samples and analyzing those samples using modern instrumentation and techniques is an important component of may environmental investigations.  In this course, students learn the theory of and techniques for field data collection, laboratory analysis, and interpretation of air, water, and soil samples for environmental toxics. Topics include active (grab) and passive sampling and laboratory analysis of environmental contaminants using a variety of analytic techniques.  Special attention will be paid to the analysis of toxics that are (1) directly produced by and/or impact students and their community and (2) contaminants of emerging concern (CECs), defined by the Environmental Protection Agency (EPA) as those where the, risk to human health and the environment associated with their presence, frequency of occurrence, or source may not be known. 
7	This course is a chronological study of human development spanning conception to death from the perspective of developmental psychology. Students in this class will examine matters related to physical, cognitive and socioemotional maturation at each stage of the lifespan and how these matters can enrich, delay or otherwise alter developmental progression. Emphasis will be placed on theoretical principles, methods of study and practical implications of developmental research, particularly how these principles and methods can be applied to health professions.
8	This course provides content on traditional and alternative theories of human growth and development and applies these to human behavior within the context of the social environment.  Building on the assessment framework presented in HBSE I, students learn to assess how gender, age, race, color, ethnicity, culture, social class, sexual orientation socioeconomic status and disability play a role in shaping individual life experience with human systems of various size. The individual's ability to achieve optimal health and well-being throughout the life course is also examined. Emphasis is placed on how to apply course content to client/consumer situations. 
9	Siena's flagship choral ensemble, Chamber Singers is an auditioned choir of 12-16 voices. Focus is on developing technique through reading, discussion, and performance of major choral literature. A rigorous process includes topics in music literacy and theory, history and performance practice.
10	A study of several major Shakespearean plays.  The works will be analyzed against the background of Shakespeare's life and times.
11	The course contains the principal leadership instruction of the Basic Course. The use of practical exercises is emphasized, as students are increasingly required to apply communications and leadership concepts.  The focus continues to build on developing knowledge of the leadership attributes and core leader competencies through the understanding of Army rank, structure, and duties as well as broadening knowledge of land navigation and infantry squad tactics. Case studies will provide a tangible context for learning and understanding the Soldier's Creed and Warrior Ethos. Upon completion of this semester, students should be well grounded in the fundamental principles of leaderhip, and be prepared to intensify the practical application of their studies during the Advanced Course.
12	This course, taught in English, includes the study of selected subtitled films, which will be utilized as a visual and aural source to learn about social justice issues in the Spanish-speaking world.  Students will learn about the history, politics, and social issues of Spanish speaking populations in Latin America, Spain and the United States. The geographical emphasis will shift among the various Spanish-speaking regions of the world.  Possible broad themes include memory, oppression, self-discovery, immigration, exile, identity, assimilation, women's rights, dictatorship, GLBTQ issues, and indigenous rights.  With its roots in the ideals of the Franciscan tradition, this course demonstrates how to critically analyze social justice issues in cultural settings depicted in films from the Spanish-speaking world from a variety of perspectives.
13	A survey of the social, cultural, and political development of Rome from its foundation to the fall of the empire.
14	A critical analysis of the several approaches to the study of behavior, including the comparative method. Examples will be drawn from representative levels of human and animal behavior. Students will participate in a project or term paper
15	A study of art in the United States from the seventeenth to the twentieth century considering both the European influence and American styles. Small group field trips to local/regional historic houses and museums are required.
16	A basic introduction to reporting and writing the news for broadcast, both radio and television.  Students learn what constitutes news, how to develop news stories and the basic audio and video elements required in broadcast journalism.  Students will explore legal and ethical issues in broadcast journalism and major developments in the broadcast journalism field.
17	A study of the potential economic loss from personal, property and liability risks to which all individuals and organizations are exposed. The methods by which these risks are identified and evaluated will be explored, together with methods for retaining and transferring these risks.
18	A study of Spanish literature from the Generation of '98 to the contemporary period. 
19	An historical examination of the Spanish borderland region of the United States between 1513 and 1821 with concluding remarks regarding the period of Mexican authority over Texas and the Southwest between 1821-1848. Focus will include the exploration and occupation of the region as well as social, political, economic, and military developments.
20	Public finance focuses upon the rationale and impact of the government's collection of revenue and its expenditures. Topics to be covered include the budget system, principles of taxation, tax incidence, the principles of expenditures, the impact of spending on private behavior, as well as the ability of the process to produce appropriate decisions.
21	This course deals with the development and implementation of organization strategy. It focuses on the perspectives, analytical techniques, and capabilities utilized by managers to improve an organization's probability of attaining sustainable competitive advantage and success in the long term. It is considered a capstone course, which implies that students will be asked to integrate much of what they have learned in other courses into the analytical and decision-making processes. In this course, students will be expected to integrate knowledge and skills from courses in the business core, work effectively in teams, demonstrate leadership skill, communicate effectively, engage in the analysis of complex business situations, and make enlightened decisions based upon reasoned judgments. This is a multidisciplinary course, emphasizing the development of strategies that integrate accounting, financial, economic marketing, and management considerations. The course will be taught by professors from a variety of disciplines, but always with an emphasis on multi-disciplinary integration.
22	A survey of the development of the English language from its origins as an indo-European dialect to modern British and American English.  The course will also examine regional, ethnic, and national varieties of English as well as current social and political issues regarding contemporary English.
23	This course is intended to serve as an introduction to the study of exceptional children. Students in the course will become familiar with the broad range of exceptionalities from giftedness to intellectual disabilities. While the main focus will be education of the exceptional person, emphasis will also be placed upon social and legal considerations. The course is recommended for those who are interested in regular classroom teaching as well as special education and school psychology or social work. A twenty-hour field experience working with children who have special needs is required (transportation is the responsibility of each student).
24	Critical analysis of the social construction of gender and its intersections with other relations of power, such as race, class, and sexuality. Examining issues of gender and power in a transnational context.
25	This course covers emerging database technology from the standpoint of users, implementers, and administrators. The main topics are typicaly NoSQL databases, data mining, and object databases, all with hands-on opportunities.  Additional topics normally include several of the following: cloud databases, security, privacy, spatial databases, temporal data, XML and databases, crowd sourced databases, distributed databases, main memory databases and other topics as indicated by student interest and technological trends.
26	This course is designed for students who are pursuing a career in one of the medical fields.  In this course students will learn the following: basic Spanish grammar and vocabulary applicable to a broad range of medical situations; to ask basic medical questions in Spanish and to compile a complaint history; the medical terminology of body parts and systems of the body in Spanish; appropriate protocols and cultural norms that apply when treating people from a variety of Spanish- speaking countries.
27	This academically oriented course will be taught in English and consists of coursework followed by an intensive travel study component in a selected Spanish-speaking country.  Orientation meetings, research, lectures and discussions will prepare students for an informed field experience. Upon return, students present a project/research paper and portfolio based on their cultural, historical, socio-economic knowledge acquired in the class and abroad.
28	Introduction to the fundamental concepts of mathematical analysis. A two-term course that studies the real number systems, limits, sequences, series, convergence, uniform convergence, functions of one variable, continuity differ- entiability, Riemann integration, functions of several variables, line, surface, and volume integrals.
29	A study of the vertebrates with emphasis on life cycles, adaptations, ecology, behavior, and taxonomic relationships. Includes studies of local species in their natural habitats, laboratory exercises, and individual projects or research papers. At least one weekend field trip is scheduled.
30	Behavioral economics uses insight from psychology and economics to investigate the limits of human rationality. Many economic models assume that individuals can quickly and easily assess options and will select the one that satisfies their self-interest. But experimental results and everyday experience show that this is not always the case. Behavioral economics is an attempt to understand how individuals actually act in real life, focused on two main questions. The first is What motivates individuals? - namely, is it really self-interest? The second question is How do individuals actually make decisions? - we will see that it is very often not the rational, utility maximizing models of neoclassical microeconomic. Popular press books and recent scholarly articles will be used to assess the current understanding of human decision-making behavior.
31	This course examines the role of minorities in the American political system using an inclusive concept of minority groups, covering race, ethnicity, sexual orientation, gender identity, and religion. It covers the theoretical foundations of minority civil rights in democracies, explores the historical development of politics and policies relevant to minority groups, and analyzes the nature of minority politics in contemporary American society
