DocID	FieldID
1	23
2	23
3	6
4	15
5	15
6	4
7	0
8	2
9	27
10	18
11	17
12	27
13	22
14	0
15	27
16	3
17	12
18	15
19	29
20	13
21	11
22	24
23	5
24	23
25	26
26	15
27	15
28	21
29	4
30	13
31	14
32	14
33	15
34	4
35	25
36	14
37	21
38	15
39	26
40	26
41	20
42	6
43	16
44	15
45	4
46	13
47	8
48	24
49	27
50	18
51	8
52	4
53	18
54	7
55	29
56	29
57	0
58	4
59	15
60	20
61	23
62	27
63	15
64	29
65	14
66	29
67	21
68	11
69	14
70	16
71	20
72	7
73	2
74	0
75	20
76	14
77	27
78	28
79	20
80	14
81	15
82	29
83	15
84	12
85	9
86	14
87	23
88	8
89	16
90	15
91	13
92	12
93	27
94	27
95	15
96	27
97	29
98	11
99	5
100	26
101	13
102	20
103	9
104	0
105	27
106	15
107	16
108	6
109	29
110	15
111	20
112	10
113	6
114	22
115	2
116	18
117	8
118	15
119	18
120	14
121	24
122	12
123	1
124	16
125	2
126	29
127	26
128	29
129	3
130	8
131	12
132	16
133	19
134	1
135	18
136	27
137	2
138	16
139	4
140	18
141	16
142	15
143	9
144	0
145	21
146	27
147	11
148	18
149	2
150	29
151	18
152	23
153	15
154	26
155	14
156	29
157	0
158	15
159	19
160	19
161	6
162	27
163	20
164	28
165	12
166	22
167	11
168	16
169	8
170	29
171	0
172	15
173	2
174	13
175	20
176	29
177	14
178	6
179	20
180	29
181	28
182	8
183	29
184	15
185	28
186	18
187	9
188	19
189	26
190	11
191	29
192	18
193	15
194	27
195	10
196	23
197	26
198	11
199	9
200	29
201	14
202	18
203	23
204	11
205	5
206	9
207	16
208	20
209	15
210	20
211	26
212	24
213	27
214	10
215	9
216	28
217	27
218	27
219	27
220	15
221	29
222	23
223	9
224	13
225	1
226	11
227	20
228	20
229	4
230	12
231	25
232	9
233	19
234	15
235	15
236	16
237	9
238	14
239	14
240	8
241	18
242	28
243	15
244	12
245	29
246	29
247	15
248	26
249	3
250	18
251	24
252	2
253	1
254	19
255	20
256	8
257	12
258	6
259	18
260	18
261	8
262	27
263	8
264	22
265	18
266	20
267	28
268	27
269	12
270	26
271	4
272	27
273	10
274	21
275	5
276	18
277	16
278	26
279	15
280	23
281	13
282	8
283	14
284	29
285	15
286	1
287	14
288	6
289	18
290	15
291	14
292	11
293	29
294	16
295	2
296	13
297	16
298	26
299	29
300	13
301	14
302	8
303	27
304	2
305	29
306	12
307	5
308	15
309	28
310	14
311	7
312	1
313	29
314	20
315	22
316	18
317	11
318	14
319	14
320	27
321	27
322	5
323	16
324	9
325	15
326	28
327	4
